academy	@k{d@mi:
across	@kr\Os
alley	{li:
along	@lON
alpine	{lpAen
apartment	@p6:tm@nt
apartments	@p6:tm@nts
apple	{p@l
area	e:r\i:@
arena	@r\i:n@
australia	@str\{Ili:@
avenue	{v@nj}:
back	b{k
bank	b{Nk
bar	b6:
battle	b{t@l
block	blOk
blue	bl}:
bluebird	bl}:b3:d
boy	boI
building	bIldIN
button	b6t@n
café	k{f{I
capital	k{p@t@l
carts	k6:ts
cashier	k{SI@
castle	k6:s@l
cheese	tSi:z
chimney	tSImni:
church	tS3:tS
city	sIti:
clark	kl6:k
clock	klOk
cobblestone	kOb@lst@}n
cocktail	kOkt{Il
corner	ko:n@
cotton	kOt@n
dairy	de:r\i:
dance	d{ns
deli	deli:
doctors	dOkt@z
doll’s	dOlz
down	d{On
downtown	d{Ont{On
drive	dr\Aev
drug	dr\6g
east	i:st
end	end
estate	@st{It
factory	f{ktr\i:
fashion	f{S@n
fence	fens
field	fI@ld
finish	fInIS
fire	fAe@
flag	fl{g
football	fUtbo:l
four	fo:
girls’	g3:lz
go	g@}
green	gr\i:n
grove	gr\@}v
gum	g6m
hall	ho:l
handmade	h{nm{Id
heights	hAets
high	hAe
hotel	h@}tel
house	h{Os
jet	dZet
knitting	nItIN
koala	k@6:l@
lane	l{In
law	lo:
manor	m{n@
manta	m{nt@
melba	melb@
mile	mAel
milk	mIlk
mystery	mIstr\i:
new	nj}:
newington	nj}:INt@n
no	n@}
noodle	n}:d@l
north	no:T
oaks	@}ks
offices	Of@s@z
one	w6n
orange	Or\IndZ
owl	{Ol
paper	p{Ip@
path	p6:T
pole	p@}l
purple	p3:p@l
railway	r\{Ilw{I
red	r\ed
road	r\@}d
rooms	r\}:mz
sandy	s{ndi:
school	sk}:l
scout	sk{Ot
seagull	si:g6l
shaw	So:
shoe	S}:
shop	SOp
shortcut	So:tk6t
spencer	spens@
sports	spo:ts
square	skwe:
star	st6:
start	st6:t
station	st{IS@n
steeple	sti:p@l
store	sto:
storey	sto:r\i:
straight	str\{It
street	str\i:t
sycamore	sIk@mo:
theatre	TI@t@
three	Tr\i:
thrifty	Tr\Ifti:
tour	tU@
tower	t{O@
town	t{On
tree	tr\i:
trendy	tr\endi:
tunnel	t6n@l
two	t}:
up	6p
water	wo:t@
wattle	wOt@l
west	west
windows	wInd@}z
wooden	wUd@n
wool	wUl
yellow	jel@}
